BOD (mg/L) ,Fecal Coliform (MPN/100ml) 
2.4,15
3.25,19
1.7,3.5
2,9.5
2.5,9.5
2.6,3
2.6,3
2.95,17.5
2.8,12.5
11.75,16
27.95,30
1.8,3.5
3.8,9.5
3.5,3.5
2.1,5.5
2.35,2
26.4,3100
27.8,880
16.5,1850
27,3100
12,86
2.4,60
47.5,1674500
113.5,490024.5
41.5,20024.5
1.3,121
1.9,689
1.95,1215
1.45,1674.5
1.4,1185
2.3,1372.5
2.4,1215
5.25,2565
1.4,25.5
1,6.5
1,14.5
5.75,66
10.7,473
2.35,210
2.25,81.5
2.5,6
14.5,476.5
2.05,86
1.55,4.5
2.2,11.5
15,276
34.5,507
1.05,4
12.9,286.5
2.55,25.5
2.85,198
2.95,240
1.45,9.5
1.75,56
18.5,273
1,317
1.5,2
1,2
1.5,36
1,0
3.6,0
2.15,0
6,0
3.85,0
2,0
5.55,0
3.2,0
9.5,0
7.45,0
2.5,0
2.85,0
3,0
4.35,0
2.35,0
4.75,0
3.9,0
3,0
2.9,0
2.2,0
3.45,0
4.15,0
1,0
9.9,0
3.55,0
3.45,0
2.8,0
2,0
2.1,0
3.75,0
1.3,0
2.45,0
2.35,0
8.35,0
4.7,0
2.05,0
22.5,472300
13,76650
5.5,551150
16.5,351700
5.35,7745
6.5,71650
10.5,76650
52.5,600001150
19.5,1380
4,8100
7,471650
13,551650
6,23011.5
21,41500
11,2700
16.5,9000
5.5,62000
192,1150001650
104,47002300
9.5,48150
23,24150
18.5,62000
7,8250
17,13150
4.15,515
5.45,1755
9.5,242000
41.5,351650
6.5,10150
10,167300
19,32650
8,351150
65,241650
15,851100
7.5,13150
7.5,67450
41.5,24002400
5,25300
8.5,71150
3.85,920
11.5,24150
19,8350
29.5,166300
3.55,1115
10.5,47230
4.35,1240
74,601650
41,33150
6.5,5450
6.5,66650
18.5,3501700
3.65,39
25,19300
21.5,551150
18,31665
12.5,48650
7,6700
13.5,76650
51,851650
19.5,9150
6,61650
27,33150
4.5,1450
26,397400
20,67150
12.2,71150
4,56150
6,61150
44,11200
9,316700
22.5,352000
20.5,246150
33,750005500
33,76650
10.5,25300
7.7,3100
68,0
6.25,5503150
9.5,26150
35.5,9150
30.35,1660
5.5,25050
5.1,530
2.2,125
11.5,19650
2,330
13.5,36650
6.5,56350
7.5,0
25,56650
15.5,61650
8.5,77400
24,231150
8,21650
10,49350
21.4,61150
4.5,8650
7,26150
5.5,8650
2.6,230
2.1,156
2.4,275
16.5,119
17,24700
4.5,3152300
4.25,875
2.3,435
4.5,825
2.1,265
11,36350
2.55,340
8.65,1380
14.5,1401650
55,6001050
5.1,405
4.25,900
3.65,55.5
21.5,471650
8,3151650
4.9,270
4.35,0
2.05,156.5
2.3,0
15.5,26050
2.5,182
7.5,231150
10.5,5502450
6.5,86150
4.8,1765
21,552450
12,30950
7,18150
91,33800
19.5,0
18.5,34000
28,57300
3.5,8815
19,39502000
99.3,351650
1.75,8
3.5,35.5
2.15,247
2.5,811.5
12.5,47600
24.5,76650
12.5,50950
2.45,5
2.3,315
5.5,1650245
3.5,415
2.1,240
2.5,0
4.5,1015
44,4702000
3.9,35.5
3.35,415
27.5,472300
3.65,88.5
3.6,42
26,48350
63.5,49300
41.5,56150
2.1,0
9,47070
9.5,86650
2.5,701
2.25,125
3.65,950
1.7,1050
2.4,701
4.1,1310
1.65,117
1.1,50
1,2
1.25,14.5
1.15,1773.5
1,61
2.2,351
1.5,90
2.75,450
2.3,16315
1.55,415
5.75,1600
0,2
1,5
0,0
1.5,2
1.15,2
4.35,56
1.3,2
4.9,91
1.9,2
1.4,3.5
1.2,91
1.45,3
1.95,2
4.6,461
2.45,5
1.5,5
1.4,2
8.4,1057
1.2,2
3.8,176
1.35,1751
2.65,2351
2.6,1301
2.35,1751
1.6,2
1.15,2
3.1,61
5.2,76
3.15,36
2.25,4
3.15,56
1.7,2
1.9,3
1.45,2
5.4,141
1.6,0
1.1,2
1.4,3
3.1,45
3.35,15
3.25,42.5
3.35,27.5
3.4,15
3.6,45
3.55,52.5
3.35,11
3.45,21
3.35,10
3.85,55
3.75,50
4,77.5
3.45,30
3.45,30
3.25,8.5
3.25,36
3.4,20
1.85,140
1.65,13.5
6.5,400
6.15,360
7.5,435
6.15,400
2.85,95
1.6,0
2.2,0
2.05,0
1.8,0
2.05,0
2.05,0
1.9,2800
1.65,1215
1.5,1815
1.7,960
2,1151
1.55,851
3.95,905
1.95,12001
4.75,17510
2.05,80070
5.85,6522.5
5.9,715
7.65,1222.5
6.45,715
5.8,1222.5
1.75,12.5
16.4,305
1.65,56
1.85,810
2.4,905
1,30
2.35,66
2.95,305
2.2,350
1.2,58
1.65,49
1.85,57
4.55,276.5
2.75,195
1.55,58
3.1,305
2.35,107
2.95,157.5
1.9,31
3.35,58
2.05,86.5
1.9,157.5
1.35,44.5
1.7,48.5
2.25,121.5
1.9,43.5
2.5,25
2.5,2
3,40
3,23.5
3,11
2.75,79
2,34.5
1.6,75.5
3,11
9.5,12.5
10.9,36
6,38.5
7.7,22.5
11.2,53.5
4.7,23
12,40.5
8,42
2.55,13.5
12,26.5
8.05,37
4.5,19.5
9,42
4.05,17.5
10.6,46
4.5,30.5
6.5,22
9,20.5
8,52.5
2.35,3
14,73
6.9,79.5
2.85,17.5
3.05,21
4.55,15.5
10,42
6.5,30
11.5,28.5
3.95,22
2.35,2
7.1,58.5
3.9,12.5
9.1,40
7,28.5
3.75,27.5
5.05,22
8.5,55
7,24.5
6.6,44
7.1,28.5
6.4,42
5.1,44
10.05,36
7,39
9,42
8.9,50.5
17.05,12.5
2.55,7.5
11.65,40
6.5,22
9,50.5
14.1,57.5
9,35.5
14.5,38.5
9.3,47
13,49
13.5,145
8.75,55.5
5.05,16.5
9.5,23
2.45,2
4.5,20.5
2.2,3
3.7,22.5
5.3,15
9.5,50.5
19.5,40
9.9,27.5
13,37.5
2.45,7
4.55,38.5
9.5,42
2.75,19.5
11,50
9,27
5.05,32
10.5,36
12.9,45
11.5,29.5
9.9,56
190.5,10
3.05,14.5
4.2,32
5.6,34
3.1,22.5
8,34
3,3
9,48
5,50.5
9.6,25.5
7.5,37
18,16.5
4.6,8
3.35,8
13.2,54.5
10.9,30
4.6,7.5
2.05,9.5
12.5,19.5
6.6,7
12.8,37
15,16.5
3.15,17.5
7.5,5
6,7.5
7.45,5
12.85,4
4.05,14.5
5,6.5
17,31
5,8
12.8,55.5
3.55,9
3.05,20.5
10,25
3.95,4.5
5.05,31
15.6,12.5
6.05,14.5
3.25,5.5
4.75,5
4.6,8.5
5.05,17
2.55,14
3.6,10
1.3,37.5
1.6,42
1.25,35.5
1.4,31.5
1.45,39.5
1.85,55.5
1.55,44
1.4,40
1.4,32.5
1.4,31.5
1.45,31.5
1.6,37.5
2.05,63
1.35,37
1.45,32
1.25,40
7.05,70.5
1.5,37.5
6,35000
4.5,3950
10.5,0
24,4300
1.3,120
1.5,245
1.45,1650
5.85,19150
5.05,46700
1.4,2530
1.6,2700
1.75,1385
5.4,126500
2.3,3550
2.95,560
5,6250
1.05,90
1.4,95
1.3,90
